,ID,op,Catalyst ID,Chemical Composition,chemsys,Ru,Hf,Zr,Y,Ce,Fe,V,Co,Cr,W,Mn,Ti,Sb,O,# Atoms,deltaH,d_center,p_center
0,R0-M32-1,710,R0-M32-1,Zr16V2Ce14O64,0,0,0,16,0,14,0,2,0,0,0,0,0,0,64,96,-7.750136483,-4.194603036,-11.38084911
1,R0-M32-3,610,R0-M32-3,Zr23V3Co6 O64,0,0,0,23,0,0,0,3,6,0,0,0,0,0,64,96,-3.755906063,-3.839416655,-13.53303445
2,R0-M32-4,700,R0-M32-4,Zr10Y11Co11 O64,0,0,0,10,11,0,0,0,11,0,0,0,0,0,64,96,-9.549122827,-3.943005157,-9.479666025
3,R0-M32-5,700,R0-M32-5,Hf10Co11Fe11 O64,0,0,10,0,0,0,11,0,11,0,0,0,0,0,64,96,-6.419576685,-5.517987943,-14.05948233
4,R0-M24-7,557,R0-M24-7,Cr16W8 O48,1,0,0,0,0,0,0,0,0,16,8,0,0,0,48,72,-19.81838259,-2.948810512,-21.99250918
5,R0-M24-10,517,R0-M24-10,W10Mn8Cr6O48,1,0,0,0,0,0,0,0,0,6,10,8,0,0,48,72,-22.02414766,-3.322390223,-22.28971967
6,R0-M24-11,576,R0-M24-11,W7Mn12Cr5O48,1,0,0,0,0,0,0,0,0,5,7,12,0,0,48,72,-19.92709196,-3.497895746,-22.76340119
7,R7-M25-15,685,R7-M25-15,Hf9Ru7Zr8Y2Ce3Fe3O64,0,7,9,8,2,3,3,0,0,0,0,0,0,0,64,96,-11.3304608,-4.09427722,-15.97881361
8,R8-M16-16,591,R8-M16-16,Ru8Cr16O48,1,8,0,0,0,0,0,0,0,16,0,0,0,0,48,72,-4.00391726,-2.747977018,-20.40247589
9,R8-M16-17,505,R8-M16-17,Ru8Cr8W8O48,1,8,0,0,0,0,0,0,0,8,8,0,0,0,48,72,-14.46380341,-2.770545684,-20.80612455
